Category,Style,ibu_low,ibu_high,ibu_mid,ibu_delta,srm_low,srm_high,srm_mid,srm_delta,original_gravity_low,original_gravity_high,final_gravity_low,final_gravity_high,final_gravity_mid,final_gravity_delta,abv_low,abv_high,abv_mid,abv_delta,Notes,Yeast,Aroma/Flavor,Appearance,Mouthfeel,Example
British Bitter,Ordinary Bitter,25,35,30,5,8,14,11,3,1.03,1.039,1.007,1.011,1.009,0.002,3.2,3.8,3.5,0.3,,,,,,
British Bitter,Best Bitter,25,40,32.5,7.5,8,16,12,4,1.04,1.048,1.008,1.012,1.01,0.002,3.8,4.6,4.2,0.4,,,,,,
British Bitter,Strong Bitter,30,50,40,10,8,18,13,5,1.048,1.06,1.01,1.016,1.013,0.003,4.6,6.2,5.4,0.8,,,,,,
Pale Commonwealth,British Golden Ale,20,45,32.5,12.5,2,5,3.5,1.5,1.038,1.053,1.006,1.012,1.009,0.003,3.8,5,4.4,0.6,,,,,,
Pale Commonwealth,Austrailian Sparkling Ale,20,35,27.5,7.5,4,7,5.5,1.5,1.038,1.05,1.004,1.006,1.005,0.001,4.5,6,5.25,0.75,,,,,,
Pale Commonwealth,English IPA,40,60,50,10,6,14,10,4,1.05,1.07,1.01,1.015,1.0125,0.0025,5,7.5,6.25,1.25,,,,,,
Brown British Beer,Dark Mild,10,25,17.5,7.5,14,25,19.5,5.5,1.03,1.038,1.008,1.013,1.0105,0.0025,3,3.8,3.4,0.4,,,,,,
Brown British Beer,British Brown Ale,20,30,25,5,12,22,17,5,1.04,1.052,1.008,1.013,1.0105,0.0025,4.2,5.9,5.05,0.85,,,,,,
Brown British Beer,English Porter,18,35,26.5,8.5,20,30,25,5,1.04,1.052,1.008,1.014,1.011,0.003,4,5.4,4.7,0.7,,,,,,
Scottish Ale,Scottish Light,10,20,15,5,17,25,21,4,1.03,1.035,1.01,1.03,1.02,0.01,2.5,3.3,2.9,0.4,,,,,,
Scottish Ale,Scottish Heavy,10,20,15,5,12,20,16,4,1.035,1.04,1.01,1.015,1.0125,0.0025,3.3,3.9,3.6,0.3,,,,,,
Scottish Ale,Scottish Export,15,30,22.5,7.5,12,20,16,4,1.04,1.06,1.01,1.016,1.013,0.003,3.9,6,4.95,1.05,,,,,,
Irish Beer,Irish Red Ale,18,28,23,5,9,14,11.5,2.5,1.036,1.046,1.01,1.014,1.012,0.002,3.8,5,4.4,0.6,,,,,,
Irish Beer,Irish Stout,25,45,35,10,25,40,32.5,7.5,1.036,1.044,1.007,1.011,1.009,0.002,3.8,5,4.4,0.6,,,,,,
Irish Beer,Irish Extra Stout,35,50,42.5,7.5,30,40,35,5,1.052,1.062,1.01,1.014,1.012,0.002,5,6.5,5.75,0.75,,,,,,
Dark British Beer,Sweet Stout,20,40,30,10,30,40,35,5,1.044,1.06,1.012,1.024,1.018,0.006,4,6,5,1,,,,,,
Dark British Beer,Oatmeal Stout,25,40,32.5,7.5,22,40,31,9,1.045,1.065,1.01,1.018,1.014,0.004,4.2,5.9,5.05,0.85,,,,,,
Dark British Beer,Tropical Stout,30,50,40,10,30,40,35,5,1.056,1.075,1.01,1.018,1.014,0.004,5.5,8,6.75,1.25,,,,,,
